Test,Animal,Sex,Treatment,Day,Trial,Duration,Distance,Mean speed
206,8,0,0,4,2,55.4,4.476,0.081
207,8,0,0,4,3,34.3,2.242,0.065
208,8,0,0,4,4,45.7,3.804,0.083
209,9,0,0,4,1,21,2.808,0.134
210,9,0,0,4,2,24.4,3.403,0.139
211,9,0,0,4,3,4.7,0.26,0.056
212,9,0,0,4,4,60,7.545,0.126
213,10,0,0,4,1,4.5,0.635,0.14
214,10,0,0,4,2,54.7,8.571,0.157
215,10,0,0,4,3,14.6,1.965,0.135
216,10,0,0,4,4,18.9,2.939,0.155
217,11,0,1,4,1,60,3.105,0.052
218,11,0,1,4,2,27.8,2.331,0.084
219,11,0,1,4,3,60,2.996,0.05
220,11,0,1,4,4,60,3.305,0.055
221,12,0,1,4,1,27.5,2.341,0.085
222,12,0,1,4,2,18.4,2.347,0.127
223,12,0,1,4,3,13.7,1.78,0.13
224,12,0,1,4,4,6.9,1.15,0.166
225,13,0,1,4,1,60,7.483,0.125
226,13,0,1,4,2,32.8,4.533,0.138
227,13,0,1,4,3,32.4,3.647,0.113
228,13,0,1,4,4,60,7.234,0.121
229,14,0,1,4,1,16.3,1.251,0.077
230,14,0,1,4,2,7.4,0.988,0.133
231,14,0,1,4,3,19.7,2.594,0.132
232,14,0,1,4,4,5.6,0.666,0.118
233,15,0,1,4,1,60,0.76,0.013
234,15,0,1,4,2,60,0.876,0.015
235,15,0,1,4,3,60,2.37,0.04
236,15,0,1,4,4,60,0.872,0.015
237,16,0,1,4,1,60,2.167,0.036
238,16,0,1,4,2,60,0.678,0.011
239,16,0,1,4,3,60,1.059,0.018
240,16,0,1,4,4,60,0.963,0.016
241,17,0,0,4,1,60,7.016,0.117
242,17,0,0,4,2,60,5.274,0.088
243,17,0,0,4,3,8.5,1.775,0.21
244,17,0,0,4,4,60,4.432,0.074
245,18,0,0,4,1,60,2.653,0.044
246,18,0,0,4,2,60,2.646,0.044
247,18,0,0,4,3,14.8,1.353,0.091
248,18,0,0,4,4,60,3.951,0.066
249,19,0,0,4,1,39.7,6.009,0.151
250,19,0,0,4,2,15.2,1.912,0.126
251,19,0,0,4,3,51.4,5.912,0.115
252,19,0,0,4,4,60,4.294,0.072
253,20,0,0,4,1,41.2,3.485,0.084
254,20,0,0,4,2,8.9,2.489,0.281
255,20,0,0,4,3,16,2.155,0.135
256,20,0,0,4,4,35.6,4.696,0.132
257,21,0,0,4,1,60,3.496,0.058
258,21,0,0,4,2,60,2.476,0.041
259,21,0,0,4,3,60,1.858,0.031
260,21,0,0,4,4,24.5,0.87,0.036
261,22,0,0,4,1,60,2.87,0.048
262,22,0,0,4,2,60,3.738,0.062
263,22,0,0,4,3,60,4.969,0.083
264,22,0,0,4,4,60,6.606,0.11
265,1,0,1,5,1,5.1,0.541,0.107
266,1,0,1,5,2,9.7,1.361,0.14
267,1,0,1,5,3,47.4,6.519,0.138
268,1,0,1,5,4,3.1,0.309,0.101
269,2,0,1,5,1,11.3,1.085,0.096
270,2,0,1,5,2,3.3,0.353,0.109
271,2,0,1,5,3,12.4,1.739,0.14
272,2,0,1,5,4,6.4,0.724,0.113
273,3,0,1,5,1,23.9,2.935,0.123
274,3,0,1,5,2,8.4,1.453,0.173
275,3,0,1,5,3,37.4,0.051,0.001
276,3,0,1,5,4,43.4,5.671,0.131
277,4,0,1,5,1,18.3,2.486,0.136
278,4,0,1,5,2,40.7,5.691,0.14
